name,cutoff_value,mean_time,std_time,mean_accuracy,std_accuracy,mean_bond_dim,std_bond_dim
naive,0.01,673.7131072044373,1.7727702298725418,0.020401782910308783,0.0,2.0,0.0
naive,0.001,674.9468110084533,0.5964412612263988,0.0040499961995279195,0.0,2.0,0.0
naive,0.0001,676.8527936458588,1.8230121976620217,0.000535600532514361,0.0,4.0,0.0
naive,1e-05,676.5508161067962,2.1110414378914006,5.0288383469357054e-05,0.0,5.0,0.0
naive,1e-06,675.9021979808807,1.1720782207549942,6.678216565624825e-06,8.470329472543003e-22,8.0,0.0
naive,1e-07,676.6586974143981,1.3141379800289306,7.024620092062903e-07,0.0,13.0,0.0
naive,1e-08,675.800088262558,0.6271885532898346,7.605329647902794e-08,0.0,17.0,0.0
naive,1e-09,677.6928220272064,1.336046210501855,8.55494414109805e-09,0.0,27.0,0.0
naive,1e-10,678.6808957099914,1.6160014914111411,8.289149954333955e-10,1.0339757656912846e-25,36.0,0.0
naive,1e-11,682.2815878391266,6.084688331947456,8.444347855302576e-11,0.0,48.0,0.0
naive,1e-12,680.9015124320983,0.891941215778808,7.61853556977066e-12,0.0,52.0,0.0
naive,1e-13,681.185949420929,1.0642797639375086,7.961774515270695e-13,1.0097419586828951e-28,63.0,0.0
naive,1e-14,682.9480363845826,1.1985198470684986,1.8518909848485177e-13,0.0,81.0,0.0
density,1e-14,130.44714179039002,1.356301669788648,2.7763667212650583e-13,0.0,78.0,0.0
density,1e-13,129.06419405937194,0.4496844545029843,1.2197021668900603e-12,0.0,61.0,0.0
density,1e-12,129.0331558227539,0.7496235576722713,1.3854142703874788e-11,0.0,52.0,0.0
density,1e-11,128.34003562927245,0.6200285646981541,1.6603013874364929e-10,0.0,48.0,0.0
density,1e-10,127.85540618896485,0.8959832578695907,1.6906587827976613e-09,0.0,33.0,0.0
density,1e-09,128.06332211494447,1.4821865445486422,1.4637000941525856e-08,1.6543612251060553e-24,25.0,0.0
density,1e-08,127.82301335334778,2.0224644296178402,1.2803376255285483e-07,0.0,16.0,0.0
density,1e-07,127.16707906723022,1.4506644616726918,7.839833973058289e-07,1.0587911840678754e-22,12.0,0.0
density,1e-06,127.00532302856445,1.563162394490839,7.296400634801373e-06,0.0,8.0,0.0
density,1e-05,127.31997537612915,1.612885003457408,5.030564312944459e-05,0.0,5.0,0.0
density,0.0001,126.75115914344788,0.7120292435056107,0.0005897958293104756,0.0,4.0,0.0
density,0.001,126.41256399154663,0.37623213342295697,0.004113249652240111,0.0,2.0,0.0
density,0.01,126.36370620727538,0.20706936726798178,0.0204017828557476,0.0,2.0,0.0
fit,1e-14,10.802636814117431,0.31172475999920507,2.2543240329338114e-13,2.0043828917204294e-15,81.0,0.0
fit,1e-13,8.383955669403075,0.1689787134229949,8.165579064768796e-13,6.636005800433837e-16,63.0,0.0
fit,1e-12,7.421751928329468,0.17401557008353627,7.619513369933106e-12,8.099748004644003e-17,52.0,0.0
fit,1e-11,5.812300968170166,0.08365134958974904,8.525066585370477e-11,5.9766686604830575e-18,48.0,0.0
fit,1e-10,4.0910028457641605,0.06641383902848012,8.388199252581489e-10,5.92020204425569e-19,36.0,0.0
fit,1e-09,2.7595396518707274,0.11604897184125004,8.717394673331305e-09,1.938819587876968e-16,27.0,0.0
fit,1e-08,2.197086715698242,0.10039502201131384,7.85891946114015e-08,4.108716245325489e-16,16.0,0.0
fit,1e-07,1.5847813606262207,0.1088562729888478,7.100626708810662e-07,1.8871610017608073e-14,13.0,0.0
fit,1e-06,1.2724934577941895,0.051094583931215916,7.002172076983448e-06,1.4726743839156304e-13,8.0,0.0
fit,1e-05,1.111419153213501,0.084603383034584,5.0240298145083966e-05,2.0518073546996454e-11,5.0,0.0
fit,0.0001,1.0573598384857177,0.12116797832367468,0.0005763932209992804,1.95766872681114e-15,4.0,0.0
fit,0.001,0.7915521621704101,0.05141126270441108,0.004215475584465183,1.637913375981971e-17,2.0,0.0
fit,0.01,0.7016709327697754,0.07969308687019507,0.02040178218089536,5.732467154385379e-17,2.0,0.0
zipup,0.01,0.03245244026184082,0.01021043063077869,0.0204162564686553,0.0,2.0,0.0
zipup,0.001,0.0628133773803711,0.017423833998661216,0.0028329836114848843,0.0,4.0,0.0
zipup,0.0001,0.11255998611450195,0.010556874787198514,0.00026162587539497225,0.0,7.0,0.0
zipup,1e-05,0.2579493522644043,0.010714740344744372,2.6447753490499903e-05,3.3881317890172014e-21,13.0,0.0
zipup,1e-06,0.5300149917602539,0.026754890774176813,2.860615133687515e-06,0.0,19.0,0.0
zipup,1e-07,0.9906779289245605,0.02528291138158129,2.6670072735786413e-07,0.0,31.0,0.0
